A1_Pseudonym_Display Name,A2_First Name,A3_Family Name,A7_School,B1_Title_Display,B2_Full Title,B3_Genre,C1_Circa,C2_Start Date,C4_End Date,D1_Object Type,D2_Technique 1,D3_Technique 2,D4_Material,E1_Metric Unit,E2_Height,E3_Metric Unit,E4_Width,E7_Metric Unit,E8_Diameter,F5_Place,F6_Current Location,F7_Latitude,F8_Longitude,G1_Sources,G2_Source Url,G3_Source Url 2,H1_Credit,I1_Filter View
Leonardo da Vinci,,,Florentine,Lady with an Ermine,Portrait of Cecilia Gallerani,Portrait,c.,1483,1490,Painting,Oil,,Wood,cm,54,cm,39,,,Krak�_w,Czartoryski Museum ,50.0646406,19.9399668,Totally History,http://totallyhistory.com/lady-with-an-ermine/,,Mathilda Lindborg,
Albrecht Dﾙrer,,,German,Self-Portrait in a Fur-Collared Robe,,Portrait,,1500,1500,Painting,Oil,,Panel,cm,"67,1",cm,"48,7",,,Munich,Alte Pinakothek,48.148298,11.569974,Web Gallery of Art,http://www.wga.hu/frames-e.html?/html/d/durer/1/03/1self28.html,"https://en.wikipedia.org/wiki/Self-Portrait_(D%C3%BCrer,_Munich)",Kaja Kusnieruk,
Albrecht Dﾙrer,,,German,Portrait of Emperor Maximilian I,,Portrait,,1519,1519,Painting,Oil,,Wood,cm,74,cm,62,,,Vienna,Kunsthistorisches Museum,48.2038,16.361806,Web Gallery of Art,http://www.wga.hu/html_m/d/durer/1/09/5empero1.html,,Kaja Kusnieruk,
Albrecht Dﾙrer,,,German,Portrait of Artist Holding Thistle,,Portrait,,1493,1493,Painting ,Oil,,Vellum Transfered on Linen,cm,57,cm,45,,,Paris,Mus_e du Louvre,48.8606,2.3376,Wikipedia,https://en.wikipedia.org/wiki/Portrait_of_the_Artist_Holding_a_Thistle,,Liberty John,
Albrecht Dﾙrer,,,German,Portrait of Oswolt Krel,,Portrait,,1499,1499,Painting,Oil,,Wood,cm,50,cm,39,,,Munich,Alte Pinakothek,48.14822,11.569985,Web Gallery of Art,http://www.wga.hu/html_m/d/durer/1/02/12krel.html,,Liberty John,
Lucas Cranach the Elder,,,German,Portrait of Martin Luther,,Portrait,,1529,1529,Painting,Oil,Tempera,Wood,cm,38,cm,24,,,Florence,Galleria delgi Uffizi,43.767902,11.255295,Virtual Uffizi ,https://www.virtualuffizi.com/martin-luther-and-and-his-wife.html,http://www.wga.hu/html_m/c/cranach/lucas_e/13/04luthe1.html,Liberty John,
Hieronymus Bosch,,,Netherlandish,Garden of Earthly Delights,Garden of Earthly Delights,Religious,c.,1500,1500,Painting,Oil,,Wood,cm,220,cm,195,,,Madrid,Museo del Prado,40.414019,-3.692127,Web Gallery of Art,http://www.wga.hu/index1.html,,Laura Cassidy,
Albrecht Dﾙrer,,,German,Adam and Eve,,Religious,,1504,1504,Engraving,,,Paper,cm,25.1,cm,20,,,New York,Metropolitan Museum of Art,40.779648,-73.963319,The Met Museum,http://www.metmuseum.org/toah/works-of-art/19.73.1/,,Laura Cassidy,
Hieronymus Bosch,,,Netherlandish,Triptych of St Uncumber,Triptych of St Liberata,Religious,c.,1493,1497,Painting,Oil,,Panel,cm,104,cm,109,,,Venice,Gallerie dell'Accademia,45.431071,12.328386,Bosch Project,http://boschproject.org/bosch_in_venice.html,https://en.wikipedia.org/wiki/The_Crucifixion_of_St_Julia,Charlotte Gale,
Girolamo dai Libri,,,Venetian,Presepe dei conigli ,Nativity,Religious,,1500,1500,Painting,Oil,,Canvas,cm,217,cm,151,,,Verona,Museo di Castelvecchio,45.439715,10.987764,Benettiweb,http://lnx.benettiweb.it/Joomla2/index.php?option=com_content&task=view&id=46&Itemid=43,,Ella Ridley - Jones,
Hans Holbein the Younger,,,German,Portrait of Desiderius Erasmus of Rotterdam,,Portrait,,1523,1523,Painting,Oil,Tempera,Wood,cm,76,cm,51,,,London,The National Gallery,51.508976,-0.12802,Web Gallery of Art,http://www.wga.hu/html_m/h/holbein/hans_y/1525/08erasmu.html,https://en.wikipedia.org/wiki/Portrait_of_Erasmus_of_Rotterdam,Ella Ridley - Jones,
Albrecht Dﾙrer,,,German,Young Hare,,Observational,,1502,1502,Painting,Watercolour,Gouache,Paper,cm,25.1,cm,22.6,,,Vienna,Albertina,48.205486,16.368139,Wikipedia,https://en.wikipedia.org/wiki/Young_Hare,,Priyanjali Ratwatte,
Lucas Cranach the Elder,,,German,Paradise,,Religious,,1530,1530,Painting,Oil,,Wood,cm,81,cm,114,,,Vienna,Kunsthistorisches Museum,48.2038,16.361806,"Wikipedia, Wikimedia",https://en.wikipedia.org/wiki/Lucas_Cranach_the_Elder,https://commons.wikimedia.org/wiki/File:Lucas_Cranach_(I)_-_Adam_and_Eve-Paradise_-_Kunsthistorisches_Museum.jpg,Priyanjali Ratwatte,
Jacopo Bassano,Jacopo ,Dal Ponte,Venetian,The Flight into Egypt,,Religious,c.,1544,1545,Painting,Oil,,Canvas,cm,123.2,cm,196.2,,,Pasadena,Norton Simon Art Foundation,34.146376,-118.159284,Norton Simon Art Foundation,https://www.nortonsimon.org/collections/browse_title.php?id=M.1969.35.P,,Yuchen Wei,
Rosso Fiorentino,Giovanni,Battista di Jacopo,Central-Italian,Piet_,,Religious,,1537,1540,Painting,Oil,,Wood Transferred to Canvas,cm,125,cm,159,,,Paris,Museum du Louvre,48.860611,2.337676,Web Gallery of Art,http://www.wga.hu/html_m/r/rosso/2/5pieta.html,,Yuchen Wei,
Tintoretto,Jacopo,Robusti Comin ,Venetian,Crucifixion,,Religious,,1568,1568,Painting,Oil,,Canvas,cm,341,cm,371,,,Venice,Church of San Cassiano,45.439766,12.332658,Web Gallery of Art,http://www.wga.hu/html_m/t/tintoret/3_1560s/6cassia2.html,,Nicole Vaus,
Hans Holbein the Younger,,,German,Portrait of King Henry VIII,,Portrait,c.,1537,1540,Painting,Oil,,Canvas,cm,233.7,cm,134.6,,,Liverpool,Walker Art Gallery,53.410107,-2.979237,Web Gallery of Art,http://www.wga.hu/html_m/h/holbein/hans_y/1535h/,https://en.wikipedia.org/wiki/Portrait_of_Henry_VIII,Nicole Vaus,
