A1_Pseudonym_Display Name,A2_First Name,A3_Family Name,A7_School,B1_Title_Display,B2_Full Title,B3_Genre,C1_Circa,C2_Start Date,C4_End Date,D1_Object Type,D2_Technique 1,D3_Technique 2,D4_Material,E1_Metric Unit,E2_Height,E3_Metric Unit,E4_Width,E7_Metric Unit,E8_Diameter,F5_Place,F6_Current Location,F7_Latitude,F8_Longitude,G1_Sources,G2_Source Url,G3_Source Url 2,H1_Credit,I1_Filter View
Giovanni Bellini,,,Venetian,Agony in the Garden,,Religious,c.,1465,,Painting,Egg Tempera,,Wood,cm,81,cm,127,,,London,The National Gallery,51.508976,-0.12802,The Natioanl Gallery,https://www.nationalgallery.org.uk/paintings/giovanni-bellini-the-agony-in-the-garden,,Liberty John,Filter
Piero della Francesca ,Piero,di Benedetto dei Franceschi,Central-Italian,Camaldolese Alterpiece,,Religious,c.,1450,,Painting,Tempera,,Wood,cm,167,cm,116,,,London,The National Gallery,51.508976,-0.12802,The National Gallery,https://www.nationalgallery.org.uk/paintings/piero-della-francesca-the-baptism-of-christ,,Liberty John,Filter
Giovani Bellini,,,Venetian,Santa Corona Altarpiece,,Religious,,1500,1502,Painting,Oil,,Canvas,cm,400,cm,263,,,Vicenza,Church of Santa Corona,45.549516,11.547866,Web Gallery of Art,http://www.wga.hu/frames-e.html?/html/b/bellini/giovanni/1500-09/167bapti.html,https://en.wikipedia.org/wiki/Giovanni_Bellini,Kaja Kusnieruk,Filter
Gerard David,,,Netherlandish,Transfiguration of Christ,,Religious,,1520,1520,Painting,Oil,,Wood,No,,,,,,Bruges,Onze-Lieve-Vrouwekerk,51.204635,3.224523,Web Gallery of Art,http://www.wga.hu/frames-e.html?/html/d/david/1/transfig.html,,Kaja Kusnieruk,Filter
Sandro Botticelli,Alessandro,di Mariano Filipepi,Florentine,Lamentation Over the Dead Christ,,Religious,,1490,1492,Painting,Tempera,,Wood,cm,140,cm,207,,,Munich,Alte Pinakothek,48.148248,11.569985,Wikipedia,https://en.wikipedia.org/wiki/Lamentation_over_the_Dead_Christ_(Botticelli),http://www.wga.hu/html_m/b/botticel/91late/01lament.html,Liberty John,Filter
Raphael ,Raffaello,Sanzio,Florentine,Terranuova Madonna,Madonna and Child with St John the Baptist and an Infant Saint,Religious,c.,1505,,Painting,Oil,,Wood,No,,,,cm,86,Berlin,Staatliche Museen,52.509208,13.364462,Web Gallery of Art,http://www.wga.hu/html_m/r/raphael/2firenze/1/26terran.html,,Liberty John,Filter
Sandro Botticelli,Alessandro,di Mariano Filipepi,Florentine,San Marco Altarpiece ,"Coronation of the Virgin with the saints John the Evangelist, Augustine, Jerome and Eligius",Religious,,1490,1492,Painting,Tempera,,Wood,cm,378,cm,258,,,Florence,Galleria degli Uffizi,43.7678,11.2553,Web Gallery of Art,http://historylink101.com/art/Sandro_Botticelli/pages/27_Coronation_Virgin_jpg.htm,,Veerti Mehta,Filter
Michelangelo Buonarroti,,,Florentine,Delphic Sibyl,,Religious,c.,1508,1512,Painting,Fresco,,Intonaco,cm,350,cm,380,,,Vatican City,Sistine Chapel,41.9029,12.4545,http://www.wikiart.org/en/michelangelo/sistine-chapel-ceiling-the-delphic-sibyl-1509,Khan Academy,,Veerti Mehta,Filter
Donatello,,,Florentine,St Mary Magdalene,,Religious,c.,1457,1457,Sculpture,Carving,Polychrome,Wood,cm,188,,,,,Florence,Museo dell'Opera del Duomo,43.773231,11.258042,Web Gallery of Art,http://www.wga.hu/html_m/d/donatell/3_late/various/3magda_1.html,,Yuchen Wei,Filter
Titian,Tiziano,Vecellio,Venetian,Portrait of Pope Paul III,,Portrait,c.,1543,1543,Painting,Oil,,Canvas,cm,106,cm,85,,,Naples,Museo di Capodimonte,40.867066,40.867066,Wikipedia,https://en.wikipedia.org/wiki/Portrait_of_Pope_Paul_III_(Titian),,Yuchen Wei,Filter
Sandro Botticelli,Alessandro,di Mariano Filipepi,Florentine,Primavera,The Spring,Mythological,c.,1482,,Painting,Tempera,,Panel,cm,203,cm,314,,,Firenze,Uffizi Gallery,43.767941,11.2553,Web Gallery of Art,http://www.wga.hu/frames-e.html?/html/b/botticel/5allegor/10primav.html,https://en.wikipedia.org/wiki/Sandro_Botticelli,Vijayshri Vaghela,Filter
Sebastiano del Piombo ,Sebastiano,Luciani,Venetian,Portrait of Pope Clement VII,,Religious,c.,1531,,Painting,Oil,,Slate,cm,105.4,cm,87.6,,,Los Angeles,The J. Paul Getty Museum ,34.078267,-118.474171,Getty Museum website,http://www.getty.edu/art/collection/objects/844/sebastiano-del-piombo-pope-clement-vii-italian-about-1531/,,Vijayshri Vaghela,Filter
Leonardo da Vinci,,,Florentine,Annunciation,,Religious,,1472,1475,Painting,Tempera,,Wood,cm,98,cm,217,,,Florence,Galleria degli Uffizi,43.76859,11.256679,Web Gallery of Art,http://www.wga.hu/frames-e.html?/html/l/leonardo/01/2annunc.html,https://en.wikipedia.org/wiki/Leonardo_da_Vinci,Kaja Kusnieruk,Filter
Michelangelo Buonarroti,,,Florentine,David,,Religious,,1504,1504,Sculpture,Carving,,Marble,cm,434,,,,,Florence,Galleria dell'Academia,43.77682,11.258713,Web Gallery of Art,http://www.wga.hu/html_m/m/michelan/1sculptu/david/david.html,,Kaja Kusnieruk,Filter
Leonardo da Vinci,,,Florentine,The Last Supper ,,Religious,c.,1495,1498,Painting,Tempera,,Intonaco,cm ,460,cm,880, , ,Milan ,Santa Maria delle Grazie ,45.466083,9.170962,Wikipedia,https://en.wikipedia.org/wiki/The_Last_Supper_(Leonardo_da_Vinci),https://en.wikipedia.org/wiki/Leonardo_da_Vinci,Charlotte Gale,Filter
Sandro Botticelli,Alessandro,di Mariano Filipepi,Florentine,The Birth of Venus,,Mythological,c.,1486,1486,Painting,Tempera,,Canvas,cm,172.5,cm,278.9,,,Florence,Galleria degli Uffizi,43.76859,11.256679,wikipedia,https://en.wikipedia.org/wiki/Primavera_%28painting%29,,Charlotte Gale,Filter
